Salesperson_ID	Average_Sales
1	21.15
10	19.99
11	19.72
12	19.69
13	18.86
14	20.97
15	22.07
16	20.36
17	21.55
18	20.51
19	19.62
2	19.3
20	20.0
21	21.69
22	22.42
23	20.48
24	19.45
25	18.78
26	-22.06
27	19.58
28	23.77
29	20.78
3	20.3
30	19.95
31	20.31
32	19.38
33	19.72
34	20.78
35	59.69
36	20.83
37	20.47
38	20.1
39	19.1
4	9.33
40	21.83
41	20.66
42	18.52
43	20.77
44	20.4
45	21.35
46	21.28
47	21.17
48	21.02
49	19.93
5	21.37
50	19.97
51	22.45
52	20.92
53	20.8
54	21.1
55	19.1
56	21.52
57	30.55
58	19.83
59	20.9
6	20.02
60	20.35
61	22.56
62	20.94
63	18.44
64	20.62
65	19.64
66	23.76
67	21.35
68	19.37
69	20.06
7	19.7
70	20.94
71	19.89
72	18.27
73	21.19
74	20.32
75	21.08
76	22.39
77	38.87
78	20.69
79	20.91
8	21.02
80	18.3
81	0.82
82	18.23
83	21.41
84	18.46
85	20.0
86	22.46
87	22.63
88	20.79
89	21.65
9	21.74
90	18.69
91	18.67
92	20.23
93	19.13
94	20.84
95	19.66
96	21.19
97	20.47
98	17.05
99	20.23
