fact_id,total_sales,quantity_sold,discount_given,sales_target_achieved,profit_margin,branch_id,customer_id,sales_person_id,product_id,time_id
1,895,91,10,FALSE,48,4,68,51,58,193
4,133,90,10,TRUE,342,47,180,93,55,332
8,194,83,44,TRUE,424,17,122,54,17,4
9,840,97,11,TRUE,195,14,180,56,69,311
10,830,83,20,FALSE,265,47,192,80,70,331
11,439,100,37,TRUE,65,49,261,39,6,310
14,331,85,28,TRUE,43,30,173,9,192,52
16,915,92,37,TRUE,472,24,289,15,29,257
17,523,94,3,TRUE,400,12,50,76,91,278
20,697,99,23,TRUE,435,13,393,61,122,238
22,242,94,27,FALSE,365,37,432,33,55,298
24,962,95,34,FALSE,116,38,189,52,115,310
25,198,100,16,FALSE,268,3,479,19,130,248
28,534,89,35,FALSE,139,38,103,67,153,197
30,578,95,8,TRUE,370,6,81,44,179,335
31,510,98,33,FALSE,322,29,113,37,150,174
41,675,95,12,FALSE,359,22,284,21,155,219
46,765,81,23,FALSE,340,25,84,30,146,339
49,918,94,35,FALSE,331,20,96,47,108,222
58,980,87,36,TRUE,427,32,62,95,139,150
60,458,84,15,TRUE,128,19,101,91,124,298
66,160,86,10,TRUE,465,36,471,33,55,5
70,948,93,3,TRUE,366,33,317,41,159,306
76,416,82,35,TRUE,195,44,78,70,173,124
82,335,86,13,FALSE,66,40,307,37,147,158
85,524,98,32,FALSE,426,45,272,28,165,299
87,874,93,3,FALSE,317,25,361,58,88,284
90,919,94,46,TRUE,241,33,474,83,90,337
92,524,87,46,FALSE,31,45,139,64,57,102
93,321,82,39,TRUE,139,43,159,57,174,62
95,498,87,28,TRUE,302,21,136,17,122,261
96,862,85,42,TRUE,272,9,104,97,6,308
100,554,81,47,FALSE,78,42,449,38,154,130
105,355,93,47,TRUE,301,19,187,52,156,265
107,170,94,16,FALSE,78,32,281,99,143,242
112,200,94,49,TRUE,382,38,154,67,147,306
119,921,99,15,FALSE,387,5,259,92,172,51
123,165,83,44,FALSE,152,42,34,20,190,126
131,478,93,20,TRUE,105,35,144,76,37,347
133,519,97,23,FALSE,333,18,160,60,197,42
136,186,94,5,FALSE,387,35,182,66,125,18
139,848,81,44,FALSE,300,38,63,66,132,14
141,153,81,8,FALSE,409,10,169,95,117,265
151,855,98,21,FALSE,481,14,431,5,179,229
153,865,91,31,TRUE,266,12,478,6,87,194
154,688,96,44,TRUE,371,19,206,37,83,84
156,595,99,6,TRUE,425,37,449,74,115,192
164,813,83,15,TRUE,498,48,460,59,152,301
172,895,97,24,TRUE,102,50,273,35,16,289
179,305,89,16,TRUE,195,10,207,22,7,59
185,241,83,10,TRUE,183,11,14,30,163,197
187,506,98,31,TRUE,136,15,337,14,10,75
203,818,82,8,TRUE,372,21,395,75,122,59
205,972,84,5,TRUE,327,35,458,87,68,312
207,937,93,41,TRUE,308,15,470,78,195,53
210,433,99,11,TRUE,61,4,171,71,130,75
218,802,85,5,FALSE,117,39,189,25,1,45
220,462,94,36,FALSE,255,45,225,96,155,84
225,528,99,37,FALSE,364,42,449,83,108,205
229,761,100,46,TRUE,461,11,425,76,45,77
234,807,81,16,TRUE,426,32,415,24,91,15
236,174,85,44,FALSE,276,23,323,18,176,234
238,695,88,20,TRUE,432,38,442,48,104,119
246,707,100,21,FALSE,193,15,63,85,55,258
250,287,88,20,TRUE,471,1,179,13,35,2
258,193,97,5,TRUE,402,16,321,1,118,92
272,990,94,24,FALSE,162,7,84,96,47,22
273,672,100,6,FALSE,154,8,40,65,186,34
286,537,87,43,TRUE,212,5,425,38,23,29
287,272,84,44,FALSE,30,4,499,1,63,353
293,293,84,17,FALSE,334,16,79,74,46,237
295,151,87,24,FALSE,209,27,124,87,151,151
302,727,91,19,FALSE,237,31,55,38,28,347
303,694,94,3,TRUE,295,17,30,12,90,183
311,327,90,27,TRUE,394,42,220,85,48,234
314,412,88,9,TRUE,282,31,479,6,167,175
320,931,86,49,FALSE,379,19,288,51,15,159
