fact_id,total_sales,quantity_sold,discount_given,sales_target_achieved,profit_margin,branch_id,customer_id,sales_person_id,product_id,time_id
2,781,73,22,TRUE,58,46,343,68,76,301
3,538,76,2,TRUE,417,17,256,54,13,60
7,935,43,10,TRUE,22,21,195,41,70,355
18,554,74,17,FALSE,144,22,462,80,20,341
26,903,69,29,TRUE,401,20,343,31,64,186
32,469,44,27,TRUE,106,22,137,44,190,40
34,293,64,17,TRUE,200,12,62,50,172,31
35,748,60,23,FALSE,351,25,280,35,76,92
36,421,52,49,TRUE,470,2,226,31,35,164
37,538,55,1,TRUE,251,26,296,97,110,84
39,915,44,39,TRUE,79,20,222,94,14,301
40,785,54,10,FALSE,205,27,466,11,127,185
45,958,53,18,FALSE,465,39,430,32,190,126
47,560,68,20,FALSE,146,2,52,8,26,181
50,445,44,19,TRUE,204,29,378,76,81,35
52,702,59,28,FALSE,399,19,348,89,93,208
54,920,59,14,TRUE,123,40,206,41,180,315
55,278,62,34,TRUE,168,7,409,37,30,174
57,803,74,38,TRUE,361,8,455,4,71,65
59,845,47,39,TRUE,417,28,430,74,184,320
62,882,65,48,TRUE,34,25,60,43,28,147
63,649,49,45,FALSE,295,1,82,58,87,110
64,693,64,13,FALSE,213,9,482,91,171,335
67,906,53,38,TRUE,105,49,34,12,107,108
71,751,76,0,TRUE,27,2,101,68,130,220
75,698,62,5,TRUE,156,14,310,40,98,140
79,998,44,10,FALSE,84,31,257,56,53,109
81,811,76,9,FALSE,484,16,274,85,142,356
88,920,52,2,TRUE,473,41,63,43,146,95
91,518,43,12,TRUE,258,20,127,65,176,104
94,219,44,13,FALSE,459,45,258,34,16,50
99,787,48,33,TRUE,405,27,268,49,173,3
104,973,60,36,TRUE,417,28,413,6,67,134
106,143,66,4,FALSE,201,27,74,48,169,14
111,788,47,9,TRUE,31,20,37,29,152,327
114,756,56,49,FALSE,55,47,210,56,139,360
116,948,55,40,FALSE,248,12,125,83,101,106
118,989,43,29,FALSE,401,43,75,63,94,215
122,970,49,37,FALSE,325,50,333,95,85,19
124,776,67,8,FALSE,346,34,269,35,161,112
126,724,67,6,FALSE,407,50,49,68,170,246
127,379,43,12,FALSE,462,10,19,54,186,264
128,854,60,15,TRUE,219,6,371,43,95,76
137,100,42,30,FALSE,389,4,132,71,106,219
138,405,49,39,FALSE,334,1,180,92,89,160
140,319,63,6,FALSE,138,23,138,38,86,53
144,722,56,17,TRUE,259,19,348,14,101,323
145,465,73,38,TRUE,221,22,264,71,8,158
146,639,73,30,TRUE,279,16,61,27,77,261
150,157,44,31,TRUE,454,12,289,77,184,144
152,405,78,33,FALSE,167,1,329,51,150,246
155,332,55,17,FALSE,387,26,375,66,38,280
157,276,58,47,TRUE,280,50,421,2,162,346
158,535,50,3,FALSE,154,35,95,55,105,301
159,249,46,15,FALSE,374,29,289,99,143,194
163,157,62,14,TRUE,221,45,319,80,166,213
166,225,58,37,TRUE,176,44,427,35,61,238
168,342,68,33,TRUE,26,20,148,64,34,208
170,163,41,1,FALSE,106,9,489,87,80,223
173,493,73,7,TRUE,294,22,191,43,187,240
174,317,59,8,TRUE,414,44,461,44,167,320
181,519,44,40,FALSE,176,15,333,34,69,321
186,510,47,47,FALSE,43,41,204,91,82,303
189,467,49,32,TRUE,287,23,269,51,136,303
191,910,78,37,TRUE,258,41,181,93,151,208
193,125,65,24,TRUE,326,46,355,87,174,299
194,870,42,36,FALSE,440,12,167,13,185,94
195,566,54,28,FALSE,316,38,447,14,52,216
199,312,61,44,FALSE,277,44,453,59,136,306
201,721,43,47,FALSE,201,29,359,59,86,101
202,763,75,22,TRUE,478,38,446,60,147,189
208,570,72,1,FALSE,208,26,165,86,76,138
213,435,49,43,FALSE,468,46,46,90,152,365
214,424,53,45,FALSE,115,46,146,5,94,172
216,693,62,18,TRUE,302,1,70,88,181,134
219,178,49,44,FALSE,384,31,200,17,17,73
221,816,57,19,TRUE,240,9,8,47,102,23
224,577,72,43,TRUE,24,3,365,81,105,201
226,762,64,27,TRUE,415,40,158,93,158,190
228,647,79,28,FALSE,260,37,245,96,135,275
230,861,68,0,TRUE,141,10,289,82,164,252
232,861,70,44,FALSE,221,43,462,57,123,16
237,715,44,44,FALSE,84,24,302,19,147,29
241,779,45,12,TRUE,256,25,90,82,67,246
245,676,45,43,FALSE,270,41,219,19,95,274
247,512,58,33,TRUE,448,24,135,14,11,146
251,714,71,7,TRUE,156,9,304,53,157,206
260,932,43,30,TRUE,496,16,141,12,169,148
261,643,45,48,FALSE,351,32,385,93,101,194
264,498,45,49,TRUE,124,46,102,16,124,291
265,904,77,9,TRUE,459,31,243,11,60,245
267,256,79,12,FALSE,458,8,499,18,129,280
