time_id	year	month	day	hour	minute	second	quarter	season	is_weekend
1	2024	4	6	20	14	51	Q1	Spring	true
2	1900	2	9	11	44	35	Q3	Summer	false
3	1993	2	29	19	40	4	NULL	NULL	true
4	1981	12	31	4	31	57	Q1	Fall	false
5	1941	12	31	3	24	41	Q2	Fall	
6	2090	11	11	6	5	24	Q4	NULL	true
7	1962	1	17	12	32	47	Q2	NULL	false
8	1998	5	15	19	26	30	Q3	Winter	false
9	1998	10	29	20	47	23	Q1	NULL	false
10	1923	11	17	22	4	12	Q4	Fall	false
11	1930	1	11	9	19	12	NULL	Fall	true
12	1964	10	8	13	14	47	NULL	NULL	
13	1961	9	3	6	37	23	Q3	Winter	
14	2006	10	24	15	25	53	Q4	Summer	false
15	2077	8	23	2	4	33	Q3	Winter	true
16	2059	1	29	18	52	26	NULL	Fall	
17	2039	2	5	4	20	29	Q3	Winter	true
18	1952	11	16	1	4	6	Q2	Spring	
19	2033	10	15	14	42	33	Q3	NULL	true
20	1944	4	30	9	53	58	Q4	Spring	true
21	1948	6	12	23	6	54	Q1	Fall	true
22	2001	11	7	15	12	34	Q3	NULL	false
23	1932	3	31	20	30	35	Q3	Summer	true
24	1951	9	1	6	29	38	Q2	Spring	false
25	1912	5	7	3	25	2	Q1	Fall	false
26	1999	11	22	21	27	11	Q3	Fall	false
27	1924	6	28	13	28	20	Q1	Winter	false
28	2094	9	14	12	44	2	NULL	Fall	true
29	1952	10	5	20	16	21	Q2	Fall	false
30	2061	5	29	17	38	46	Q2	NULL	
31	2023	11	14	10	47	56	Q4	Summer	true
32	1945	3	3	9	1	55	Q4	Fall	true
33	2077	12	27	8	57	14	Q3	Summer	false
34	2071	4	3	9	0	17	Q4	Winter	false
35	2039	2	14	17	22	46	Q2	Summer	true
36	2099	12	24	16	16	30	Q3	Winter	true
37	1974	5	30	18	59	58	Q2	Summer	false
38	1929	4	6	11	14	8	NULL	NULL	true
39	1936	12	2	21	17	56	Q3	NULL	false
40	1933	9	26	11	39	9	Q4	Winter	true
41	2097	3	28	15	24	24	Q2	Spring	true
42	1949	1	31	23	59	30	Q3	Summer	false
43	1973	4	9	20	41	20	Q3	Fall	false
44	2040	2	20	18	31	27	Q3	Winter	false
45	1929	10	4	0	46	45	Q3	Winter	true
46	2001	12	7	14	24	12	Q1	Fall	
47	1905	6	26	17	3	28	Q1	NULL	true
48	2099	12	21	2	50	29	Q1	Winter	true
49	1909	2	5	8	47	46	Q2	NULL	false
50	2005	9	2	4	24	15	NULL	NULL	false
51	2024	4	16	11	14	38	Q2	Winter	true
52	1964	8	5	2	3	1	Q2	Spring	true
53	2033	4	31	13	34	35	Q2	Fall	false
54	2066	5	9	20	21	25	Q3	Spring	true
55	1985	2	8	12	44	19	Q4	Fall	false
56	2017	4	12	20	24	27	Q3	NULL	false
57	2053	6	13	22	25	49	Q3	NULL	true
58	2001	8	29	16	21	39	Q1	Summer	false
59	2083	4	21	3	34	7	Q3	Spring	false
60	2036	2	5	19	16	26	Q4	Spring	false
61	1986	9	2	10	2	14	Q3	Spring	true
62	1907	8	25	9	58	17	Q3	Fall	false
63	1904	1	18	1	57	36	Q1	NULL	false
64	2015	5	8	4	29	58	Q3	Summer	false
65	2046	6	26	17	25	32	Q4	Summer	true
66	2082	3	17	9	2	37	Q1	Winter	true
67	1953	10	5	15	2	32	Q1	Winter	true
68	1988	11	15	3	29	2	NULL	Fall	true
69	1974	12	4	7	39	24	Q3	Spring	false
70	1929	6	22	16	4	52	Q3	Spring	false
71	2079	10	11	11	23	31	Q1	Winter	false
72	2045	9	4	15	30	14	Q1	Summer	true
73	1901	7	4	0	17	20	Q1	NULL	false
74	2011	12	15	11	8	15	NULL	NULL	true
75	2098	11	28	15	51	4	NULL	NULL	true
76	1939	2	12	22	16	9	NULL	Spring	true
77	2042	4	25	2	13	34	Q4	Spring	true
78	1911	3	28	22	26	9	NULL	Summer	false
79	2018	8	27	2	11	55	Q1	Spring	
80	1971	2	24	18	46	51	Q2	Winter	
81	1991	7	27	8	20	53	Q2	Winter	true
82	1970	12	5	3	8	14	Q2	NULL	false
83	1968	12	2	4	27	24	Q3	Spring	false
84	2080	1	7	12	30	43	Q4	Fall	true
85	1987	7	4	21	5	13	NULL	NULL	false
86	2074	4	10	20	21	47	Q1	Spring	false
87	1911	5	15	3	1	47	Q4	Summer	true
88	2072	9	4	23	14	34	NULL	Summer	true
89	2098	1	21	21	47	20	Q2	NULL	false
90	2041	3	27	21	54	59	Q2	Summer	true
91	1901	10	20	16	42	24	Q4	Fall	true
92	1993	4	20	4	45	16	NULL	Summer	false
93	2007	9	30	18	22	30	Q2	Summer	false
94	1945	7	11	12	8	55	Q2	Fall	true
95	1974	2	29	0	11	59	Q2	Winter	true
96	1935	11	13	0	51	12	Q3	Winter	false
97	2053	5	26	20	49	3	Q1	Winter	false
98	1979	8	25	16	35	9	Q1	NULL	false
99	1948	8	3	5	29	13	NULL	Fall	true
100	1948	11	19	16	44	49	Q4	Fall	
101	2051	11	7	18	21	26	NULL	Spring	false
102	1912	8	1	22	43	4	Q3	Spring	true
103	1989	6	22	21	43	51	Q2	Spring	true
104	2011	3	7	21	9	16	Q1	Summer	false
105	2034	8	18	21	25	6	Q2	Winter	
106	2078	9	12	14	57	50	Q2	Spring	true
107	2072	7	29	21	15	27	NULL	NULL	true
108	1986	2	13	5	34	1	NULL	Spring	true
109	1986	2	9	11	57	27	Q3	Spring	true
110	1970	9	7	7	11	47	Q3	Summer	true
111	2048	4	30	22	47	42	Q3	Fall	false
112	2098	4	6	17	17	57	Q3	Winter	false
113	2087	9	6	9	8	59	Q1	NULL	false
114	1934	11	25	15	23	21	Q3	Fall	false
115	2075	3	23	17	19	4	Q4	Summer	false
116	1945	1	16	12	49	57	Q3	Winter	true
117	2080	11	18	14	33	18	Q1	Winter	false
118	1964	4	6	8	7	2	Q2	Spring	
119	2073	7	3	9	22	5	NULL	Fall	true
120	1953	3	10	19	11	40	Q3	NULL	true
121	2097	10	23	8	54	10	Q4	NULL	false
122	2086	5	26	19	23	59	Q1	Winter	false
123	1905	11	15	23	33	16	Q4	Summer	true
124	2000	10	17	8	46	18	Q2	Spring	true
125	2073	11	28	22	17	3	Q4	Spring	false
126	1984	7	26	0	59	34	Q2	Summer	false
127	2048	3	7	2	24	20	Q4	Spring	true
128	2022	12	24	8	51	18	Q4	Winter	false
129	2088	11	18	8	54	8	Q4	NULL	true
130	1997	10	25	1	37	57	Q4	Summer	
131	1927	2	20	18	6	19	Q1	Spring	true
132	1909	1	27	1	10	42	Q1	NULL	true
133	1939	7	16	0	2	40	Q2	Summer	false
134	2018	3	18	9	38	15	NULL	Fall	
135	1951	10	1	4	3	26	Q4	Winter	true
136	2051	5	24	19	4	56	Q4	Spring	false
137	2021	1	26	17	18	13	Q4	Spring	false
138	2099	5	26	10	0	51	Q1	Winter	false
139	1907	1	28	19	16	29	Q2	Fall	true
140	2082	4	2	9	53	0	Q3	NULL	true
141	1933	3	4	21	46	17	Q2	Summer	true
142	1997	12	18	8	21	22	Q2	NULL	true
143	2095	10	30	22	11	19	Q4	Spring	true
144	1948	6	23	3	46	39	NULL	NULL	true
145	2016	10	3	16	12	46	NULL	NULL	
146	2064	9	18	4	59	27	Q4	Spring	true
147	2074	12	1	19	29	26	Q3	Fall	false
148	1955	12	9	12	51	25	Q3	Fall	true
149	1914	11	30	23	10	17	Q2	Summer	true
150	1902	7	20	9	43	16	NULL	Spring	false
151	2083	9	16	2	13	1	Q3	Winter	false
152	2045	8	8	13	43	37	NULL	Spring	false
153	2038	11	11	4	11	13	Q1	Winter	true
154	2049	3	20	4	19	42	Q1	NULL	false
155	1984	1	2	4	10	47	Q1	Summer	false
156	1904	6	14	2	40	45	Q3	Summer	false
157	1963	10	29	22	55	47	Q4	Fall	
158	1900	11	20	13	19	54	Q3	NULL	false
159	1962	12	18	9	56	48	NULL	Summer	true
160	2064	2	20	21	33	36	Q4	Summer	true
161	2066	4	19	3	18	59	NULL	NULL	true
162	1916	12	23	11	0	48	Q2	Winter	true
163	2032	8	8	19	17	28	Q3	Winter	true
164	1990	10	31	4	39	10	Q3	Fall	false
165	1983	9	16	13	9	40	Q2	Spring	false
166	2099	5	18	13	44	9	Q2	NULL	true
167	2047	12	8	8	2	39	NULL	Winter	true
168	1968	3	1	3	57	43	Q3	NULL	true
169	1940	9	15	19	23	50	Q2	Winter	true
170	2023	10	27	11	1	20	NULL	Winter	false
171	1901	10	21	6	38	17	Q3	Fall	true
172	2039	9	30	12	32	37	Q4	Summer	false
173	2006	3	5	3	4	45	Q1	Winter	
174	2096	3	17	0	52	3	NULL	NULL	true
175	1986	3	12	20	56	20	Q4	NULL	false
176	2021	6	16	20	56	35	Q3	Winter	true
177	1908	6	15	13	6	49	Q2	Spring	true
178	1934	2	17	10	19	19	Q1	NULL	false
179	1904	7	12	5	43	12	Q1	Summer	true
180	2055	2	7	23	18	15	Q4	Summer	false
181	1957	9	27	12	14	1	Q3	Winter	true
182	1947	12	14	15	21	56	Q3	NULL	false
183	1959	10	8	3	43	0	Q4	Winter	false
184	2072	10	23	10	59	32	Q3	Summer	
185	2033	8	9	1	17	46	NULL	Fall	false
186	2037	3	4	3	34	59	Q2	NULL	false
187	1934	5	28	23	3	27	Q4	Spring	true
188	1926	1	20	13	55	29	NULL	Fall	true
189	2091	6	21	2	8	54	Q1	Winter	
190	2070	2	6	16	2	54	Q3	Fall	true
191	2017	12	4	5	42	8	Q1	Summer	true
192	1996	9	5	16	6	30	Q1	Spring	true
193	1982	11	15	12	22	13	Q4	Winter	false
194	1924	12	15	1	52	53	NULL	Fall	
195	2062	2	26	10	42	21	Q4	Summer	false
196	1944	5	13	16	11	47	NULL	Fall	true
197	2096	1	20	12	49	2	NULL	Spring	true
198	1929	7	29	3	42	11	Q3	Fall	true
199	2036	12	26	9	52	58	NULL	Summer	
200	2011	4	9	4	17	21	Q3	Summer	
201	2097	4	18	13	45	26	Q3	Fall	
202	1993	2	12	13	55	11	Q4	Fall	true
203	1926	4	3	22	22	15	Q4	NULL	true
204	1947	12	25	2	0	16	Q3	Winter	false
205	1934	10	15	7	25	53	Q2	Summer	true
206	2019	8	20	12	56	22	Q3	Fall	true
207	2085	9	31	11	35	59	Q2	Summer	false
208	1985	7	26	11	32	46	NULL	Summer	true
209	1913	12	10	18	4	58	Q1	Winter	false
210	2050	3	11	18	0	21	NULL	Summer	false
211	1941	7	31	5	47	51	Q3	NULL	
212	2035	7	23	19	37	56	Q3	Spring	false
213	2024	3	30	6	9	22	Q1	Summer	true
214	1945	10	6	10	12	52	Q1	Winter	
215	2045	1	18	18	50	44	Q3	Summer	true
216	2099	9	17	12	17	46	NULL	NULL	false
217	1956	11	25	18	38	16	Q1	NULL	true
218	2047	3	7	14	27	6	NULL	Winter	true
219	2064	9	30	14	15	14	Q1	Summer	true
220	2021	11	9	9	29	20	Q3	Winter	
221	2060	5	21	21	49	16	Q3	Winter	
222	2045	7	6	1	45	34	Q2	NULL	true
223	1915	9	16	19	44	4	Q1	NULL	false
224	1997	4	4	14	19	11	Q3	NULL	true
225	1970	4	10	9	28	21	Q1	Summer	true
226	1927	6	31	2	45	9	Q4	NULL	false
227	1977	9	6	4	48	3	Q2	Spring	false
228	2066	9	6	1	40	38	Q2	Winter	true
229	2075	7	23	14	44	27	Q4	Fall	false
230	1975	8	31	19	22	27	Q1	NULL	true
231	1901	11	10	4	7	29	Q1	Summer	
232	2090	7	5	5	22	39	Q2	Summer	true
233	1956	4	10	1	29	13	Q3	NULL	true
234	2073	9	19	1	12	36	Q4	Winter	true
235	1987	9	14	3	2	47	Q2	Summer	false
236	2003	9	19	0	28	30	NULL	Spring	false
237	2079	1	3	1	22	50	NULL	NULL	false
238	2069	6	6	18	59	25	Q2	Winter	true
239	1906	7	26	9	43	18	Q1	Summer	true
240	1983	12	23	4	15	50	NULL	Winter	false
241	2084	3	6	4	1	11	Q3	NULL	true
242	2001	12	5	0	23	43	Q3	Fall	true
243	2045	6	13	15	11	14	NULL	NULL	true
244	1910	5	8	22	43	25	Q1	Spring	false
245	1910	11	5	14	18	31	Q4	Fall	true
246	2040	1	17	6	19	14	NULL	Winter	false
247	1921	6	31	6	2	3	Q4	Winter	true
248	1919	8	16	3	34	6	Q2	Spring	true
249	2008	7	9	1	59	38	NULL	Fall	
250	1989	1	10	0	7	33	Q4	Winter	true
251	2073	3	17	1	0	1	NULL	Summer	false
252	2073	2	1	11	0	43	Q3	Winter	true
253	1921	5	17	10	31	24	Q2	Winter	true
254	2011	8	17	8	0	20	NULL	Winter	true
255	1965	2	22	3	51	33	Q1	Fall	true
256	1981	4	24	5	14	7	Q2	Summer	true
257	1955	6	19	14	38	59	Q2	Spring	false
258	2089	9	9	13	50	36	NULL	NULL	true
259	2000	10	18	11	50	49	Q1	Winter	false
260	1923	7	15	20	3	42	Q2	Spring	true
261	2037	12	28	0	4	41	NULL	NULL	true
262	1983	12	31	1	34	20	Q2	Fall	true
263	2067	5	12	2	6	52	Q3	Fall	false
264	1919	7	20	2	21	21	Q2	Winter	false
265	2011	12	30	4	27	48	Q4	Fall	false
266	1915	3	2	7	13	43	NULL	NULL	false
267	2047	5	17	10	6	0	NULL	Winter	true
268	1919	8	6	23	53	41	Q4	Winter	true
269	1987	8	17	2	5	58	Q4	Spring	true
270	1925	8	16	22	57	29	Q4	Winter	false
271	2000	2	2	21	24	31	Q2	Spring	true
272	2002	5	29	12	10	32	Q2	NULL	true
273	2056	10	7	23	59	5	Q2	Spring	true
274	1975	10	7	4	7	11	Q1	Winter	false
275	2044	7	8	8	59	19	NULL	Summer	true
276	1953	3	31	22	59	28	NULL	Fall	
277	2022	3	1	12	17	1	Q2	Fall	false
278	2010	11	29	4	46	25	Q4	Summer	true
279	1923	8	31	3	54	49	Q4	NULL	true
280	2012	1	26	3	9	17	Q3	Fall	false
281	2028	10	1	23	26	10	NULL	NULL	false
282	2074	12	23	14	27	34	Q1	Winter	true
283	1944	11	25	2	24	54	Q1	Summer	true
284	1967	10	13	23	0	37	Q4	Spring	false
285	1913	12	27	22	26	35	Q1	Summer	true
286	1999	12	17	8	19	45	Q2	Spring	true
287	1941	7	25	22	50	42	Q2	Spring	false
288	2061	7	29	11	41	11	Q4	Summer	true
289	2033	3	25	4	34	53	NULL	Fall	
290	2070	12	18	6	24	34	Q1	NULL	false
291	1960	7	8	0	48	30	NULL	Fall	false
292	1996	5	11	7	16	47	Q4	Winter	false
293	1990	4	24	19	41	39	Q4	NULL	false
294	2059	6	7	6	38	29	Q4	Summer	true
295	2011	11	13	22	30	26	NULL	Spring	true
296	2044	10	26	0	9	29	Q4	Spring	
297	1947	7	10	0	49	29	Q1	Fall	true
298	1948	7	5	8	53	37	Q1	Spring	false
299	1950	11	23	8	33	16	NULL	Spring	false
300	1956	1	28	10	57	10	Q2	NULL	true
