fact_id	branch_id	time_id	product_id	customer_id	salesperson_id	total_sales	quantity_sold	discount_given	sales_target_achieved	profit_margin
1	4	193	58	68	51	895.45	91	10.53	False	48.24
2	46	301	76	343	68	781.93	73	22.32	True	58.38
3	17	60	13	256	54	538.74	76	2.91	True	417.43
4	47	332	55	180	93	133.93	90	10.64	True	342.36
5	12	264	125	200	8	313.0	17	1.99	False	358.25
6	39	134	50	300	42	663.74	35	29.15	True	34.52
7	21	355	70	195	41	935.06	43	10.82	True	22.78
8	17	4	17	122	54	194.76	83	44.92	True	424.46
9	14	311	69	180	56	840.87	97	11.03	True	195.57
10	47	331	70	192	80	830.8	83	20.86	False	265.26
11	49	310	6	261	39	439.19	100	37.26	True	65.65
12	44	230	27	267	22	782.82	2	17.1	True	401.65
13	34	317	115	69	14	830.23	39	40.5	False	345.45
14	30	52	192	173	9	331.63	85	28.99	True	43.33
15	27	27	45	83	22	919.22	40	11.98	False	375.87
16	24	257	29	289	15	915.98	92	37.45	True	472.34
17	12	278	91	50	76	523.9	94	3.62	True	400.76
18	22	341	20	462	80	554.23	74	17.26	False	144.28
19	46	205	114	152	73	934.57	20	30.27	False	297.29
20	13	238	122	393	61	697.62	99	23.97	True	435.92
21	12	202	130	212	44	724.96	25	3.07	True	402.91
22	37	298	55	432	33	242.73	94	27.9	False	365.11
23	48	84	33	68	30	867.71	4	22.88	False	62.62
24	38	310	115	189	52	962.32	95	34.61	False	116.48
25	3	248	130	479	19	198.4	100	16.95	False	268.15
26	20	186	64	343	31	903.92	69	29.87	True	401.46
27	14	225	176	108	98	930.43	13	14.92	False	354.31
28	38	197	153	103	67	534.0	89	35.65	False	139.64
29	1	275	157	77	6	182.71	2	1.46	True	368.05
30	6	335	179	81	44	578.37	95	8.8	True	370.46
31	29	174	150	113	37	510.31	98	33.14	False	322.79
32	22	40	190	137	44	469.77	44	27.87	True	106.38
33	6	198	118	130	67	705.74	32	44.02	False	393.59
34	12	31	172	62	50	293.27	64	17.18	True	200.78
35	25	92	76	280	35	748.19	60	23.15	False	351.51
36	2	164	35	226	31	421.89	52	49.98	True	470.34
37	26	84	110	296	97	538.65	55	1.59	True	251.37
38	34	202	56	283	15	303.98	19	11.14	True	409.99
39	20	301	14	222	94	915.66	44	39.87	True	79.98
40	27	185	127	466	11	785.21	54	10.23	False	205.95
41	22	219	155	284	21	675.39	95	12.7	False	359.09
42	40	338	188	226	15	279.81	17	31.14	False	113.36
43	40	160	68	25	58	849.99	8	49.35	False	318.58
44	5	341	112	342	67	169.02	13	35.64	False	185.56
45	39	126	190	430	32	958.32	53	18.76	False	465.6
46	25	339	146	84	30	765.33	81	23.2	False	340.9
47	2	181	26	52	8	560.88	68	20.24	False	146.34
